node,degree,closeness,betweenness,clustering,theta_diff,theta2,bc_single,network
54,13,0.4900990099009901,0.01305829715345765,0.14102564102564102,4.096850300933362,-55.15219416126146,13.462096515632133,ER N=100 p=0.1 (G1)
55,12,0.47596153846153844,0.012190342406618227,0.10606060606060606,3.80786439002744,-51.11007027858049,13.422240143959586,ER N=100 p=0.1 (G1)
56,9,0.44594594594594594,0.006073143909029457,0.2222222222222222,2.881528455752701,-38.583126003915964,13.38981259299674,ER N=100 p=0.1 (G1)
57,11,0.4647887323943662,0.012003009085184861,0.05454545454545454,3.5260986991400927,-47.09219805574833,13.355326119269625,ER N=100 p=0.1 (G1)
58,9,0.4583333333333333,0.009282627382825993,0.1111111111111111,2.892993889552592,-38.6112746434756,13.346476390051041,ER N=100 p=0.1 (G1)
59,11,0.4714285714285714,0.014001199704686846,0.07272727272727272,3.5360521495591186,-47.13247939064211,13.329124514331236,ER N=100 p=0.1 (G1)
60,11,0.4583333333333333,0.012951997496389414,0.09090909090909091,3.5400274603821416,-47.11218742713735,13.308424286079308,ER N=100 p=0.1 (G1)
61,8,0.4439461883408072,0.0058481942482224505,0.10714285714285714,2.568507325284358,-34.362579380973486,13.378423741567186,ER N=100 p=0.1 (G1)
62,13,0.4876847290640394,0.013591645467925488,0.14102564102564102,4.105733631609176,-55.19798625844075,13.444122588344044,ER N=100 p=0.1 (G1)
63,16,0.5,0.03244782567683144,0.09166666666666666,5.101448541653539,-67.94581538016647,13.318925953165275,ER N=100 p=0.1 (G1)
64,14,0.4876847290640394,0.02328865702457961,0.054945054945054944,4.464428267622992,-59.60611287588776,13.35134294981606,ER N=100 p=0.1 (G1)
65,12,0.4876847290640394,0.012703825809089964,0.12121212121212122,3.7910051296627714,-50.994581239224516,13.451467221771008,ER N=100 p=0.1 (G1)
66,8,0.4342105263157895,0.00601970624420732,0.10714285714285714,2.575617655641608,-34.38065251534928,13.348507857927684,ER N=100 p=0.1 (G1)
67,8,0.44,0.008356609599726462,0.07142857142857142,2.5897587097172945,-34.426661649221714,13.293385796926165,ER N=100 p=0.1 (G1)
68,7,0.42127659574468085,0.00462023998583099,0.09523809523809523,2.2715053998340977,-30.19896401399175,13.294691712464063,ER N=100 p=0.1 (G1)
69,8,0.4439461883408072,0.005685785478827617,0.07142857142857142,2.5652875863999967,-34.34059493110604,13.386645268610218,ER N=100 p=0.1 (G1)
70,14,0.4876847290640394,0.01849682953148315,0.12087912087912088,4.4431731361176645,-59.542134967098086,13.400813594926563,ER N=100 p=0.1 (G1)
71,9,0.44,0.006884234374667135,0.19444444444444445,2.8916345731924906,-38.61333319747468,13.353462278895039,ER N=100 p=0.1 (G1)
72,11,0.46919431279620855,0.012364652012892212,0.10909090909090909,3.5162097806405868,-47.02092626122358,13.372616878580338,ER N=100 p=0.1 (G1)
73,9,0.4419642857142857,0.005398383884531135,0.25,2.8758912821092295,-38.52612552688505,13.396238504061014,ER N=100 p=0.1 (G1)
74,11,0.46261682242990654,0.012560877247915466,0.10909090909090909,3.527717084277036,-47.066797666304005,13.341998959066126,ER N=100 p=0.1 (G1)
75,16,0.5,0.025744244210753067,0.11666666666666667,5.042929752835121,-67.63532580907389,13.411911155623276,ER N=100 p=0.1 (G1)
76,9,0.4604651162790698,0.009395041444001379,0.027777777777777776,2.895626520115286,-38.64784384357901,13.346971225432862,ER N=100 p=0.1 (G1)
77,9,0.42857142857142855,0.00675746571425417,0.19444444444444445,2.911800675478517,-38.723408698241286,13.298784159351014,ER N=100 p=0.1 (G1)
78,12,0.4714285714285714,0.017667228500569013,0.10606060606060606,3.854276336847221,-51.26749712331599,13.301458598905898,ER N=100 p=0.1 (G1)
79,7,0.42127659574468085,0.0047418176717982765,0.09523809523809523,2.2623373194299177,-30.15079782415296,13.32727775173271,ER N=100 p=0.1 (G1)
80,15,0.515625,0.022885217724834168,0.10476190476190476,4.730950981076205,-63.51879142545799,13.426220580076402,ER N=100 p=0.1 (G1)
81,10,0.45,0.009227188341010904,0.15555555555555556,3.2159220299331253,-42.89394910350652,13.337994113121734,ER N=100 p=0.1 (G1)
82,11,0.48058252427184467,0.011813484828276873,0.10909090909090909,3.5105006693757304,-47.008577982777396,13.390847178256456,ER N=100 p=0.1 (G1)
83,8,0.4520547945205479,0.005023023073621303,0.07142857142857142,2.55867499166245,-34.308442953424176,13.408675609532153,ER N=100 p=0.1 (G1)
84,1,0.308411214953271,0.0,0.0,0.34108408273479096,-4.377807606400188,12.834980663123293,ER N=100 p=0.1 (G1)
85,8,0.43231441048034935,0.008201636856400199,0.03571428571428571,2.5981380465526627,-34.48529947052752,13.273082050541662,ER N=100 p=0.1 (G1)
86,9,0.4439461883408072,0.007390227012039054,0.1388888888888889,2.890858511225808,-38.61741643731267,13.358459532818078,ER N=100 p=0.1 (G1)
87,10,0.45,0.009850606026033132,0.1111111111111111,3.2188850590286933,-42.90239086556414,13.328338874737593,ER N=100 p=0.1 (G1)
88,7,0.42857142857142855,0.004509688857298714,0.09523809523809523,2.2582925138627417,-30.150198556684167,13.35088274508476,ER N=100 p=0.1 (G1)
89,11,0.4714285714285714,0.011071844259141438,0.12727272727272726,3.5077410114356766,-46.990577118546554,13.396250454452414,ER N=100 p=0.1 (G1)
90,9,0.4520547945205479,0.0076579701758194224,0.08333333333333333,2.893887564623462,-38.6335887305521,13.350065566759124,ER N=100 p=0.1 (G1)
91,12,0.4782608695652174,0.014049512642019745,0.045454545454545456,3.825279518874744,-51.21641260423662,13.388933371149463,ER N=100 p=0.1 (G1)
92,8,0.43231441048034935,0.006924270845868195,0.10714285714285714,2.5916383002014243,-34.45684034250446,13.29538938355188,ER N=100 p=0.1 (G1)
93,15,0.49748743718592964,0.01912303220654902,0.14285714285714285,4.711907231115305,-63.45426652536098,13.466790285330257,ER N=100 p=0.1 (G1)
94,11,0.4669811320754717,0.011468770877760947,0.14545454545454545,3.5174328814748748,-47.05742649916273,13.37834383336729,ER N=100 p=0.1 (G1)
95,12,0.4604651162790698,0.01459993782128378,0.09090909090909091,3.831960921841805,-51.21137419140954,13.364273601933068,ER N=100 p=0.1 (G1)
96,12,0.4541284403669725,0.012496404044356141,0.12121212121212122,3.8281244733289057,-51.21403777444998,13.378362728606541,ER N=100 p=0.1 (G1)
97,8,0.4439461883408072,0.0068215313328373805,0.14285714285714285,2.579653585864918,-34.39000676726649,13.331249961508322,ER N=100 p=0.1 (G1)
