model,N,param,b_over_c,r,delta,rule,pi_init,bc_star_single,bc_star_two,rho_C_two_sim,se_two,rho_C_single_sim,se_single,rho_C_two_pred,rho_C_single_pred
ER,100,0.1,16.0,5.0,0.02,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.00888,0.0004195508455479,0.00888,0.0004195508455479,0.0093224150525047,0.0090009952216183
ER,100,0.1,11.0,5.0,0.2,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.00392,0.0002794506611192,0.00254,0.000225102127933,-0.0011141843123361,-0.0043283826212007
ER,100,0.1,11.714285714285714,5.0,0.2,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.0058,0.0003395985865694,0.0033,0.0002564804086085,0.0025854257160353,-0.0006287725928292
ER,100,0.1,12.428571428571429,5.0,0.2,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.00696,0.0003717945238972,0.00496,0.0003141782424038,0.0062850357444069,0.0030708374355423
ER,100,0.1,13.142857142857142,5.0,0.2,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.0084,0.0004081529125217,0.00642,0.000357177367704,0.0099846457727784,0.0067704474639138
ER,100,0.1,13.857142857142858,5.0,0.2,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.0111,0.0004685464758164,0.00746,0.0003848206959091,0.01368425580115,0.0104700574922854
ER,100,0.1,14.571428571428571,5.0,0.2,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.01348,0.0005157187140292,0.01094,0.000465194935484,0.0173838658295215,0.0141696675206569
ER,100,0.1,15.285714285714285,5.0,0.2,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.01684,0.0005754374753176,0.01348,0.0005157187140292,0.021083475857893,0.0178692775490284
ER,100,0.1,16.0,5.0,0.2,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.01978,0.0006227158517333,0.0147,0.0005382176139815,0.0247830858862646,0.0215688875774
BA,100,2.0,3.5,5.0,0.02,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.0439,0.0009162182054510814,0.04118,0.0008886417455870505,0.04288518945589752,0.04142272564517782
BA,100,2.0,3.7142857142857144,5.0,0.02,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.04376,0.0009148230692325156,0.04228,0.0008999155693730385,0.043856042883294755,0.04239357907257506
BA,100,2.0,3.9285714285714284,5.0,0.02,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.04478,0.0009249297443589972,0.04338,0.0009110233323027463,0.04482689631069199,0.043364432499972294
BA,100,2.0,4.142857142857142,5.0,0.02,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.0451,0.0009280731652192083,0.04374,0.0009146235553494127,0.04579774973808922,0.044335285927369524
BA,100,2.0,4.357142857142857,5.0,0.02,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.04762,0.0009523899999475004,0.0434,0.0009112237924900776,0.04676860316548646,0.04530613935476676
BA,100,2.0,4.571428571428571,5.0,0.02,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.04882,0.0009637075033432084,0.04428,0.0009199921912712086,0.0477394565928837,0.046276992782163996
BA,100,2.0,4.785714285714286,5.0,0.02,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.04738,0.0009501066845360052,0.04528,0.0009298357016161511,0.048710310020280936,0.04724784620956123
BA,100,2.0,5.0,5.0,0.02,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.05064,0.0009805670849054643,0.0478,0.0009540981081628871,0.04968116344767817,0.04821869963695847
BA,100,2.0,3.5,5.0,0.2,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.03,0.000762889244910426,0.01696,0.0005774488444875442,0.015586588436526161,0.0009619503293291781
BA,100,2.0,3.7142857142857144,5.0,0.2,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.03382,0.0008084084066856307,0.02096,0.0006406352846979316,0.02529512271049852,0.010670484603301542
BA,100,2.0,3.9285714285714284,5.0,0.2,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.0391,0.0008668470453315279,0.02636,0.0007164516787613802,0.03500365698447089,0.0203790188772739
BA,100,2.0,4.142857142857142,5.0,0.2,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.04592,0.0009360700144754132,0.03348,0.0008044760978425649,0.04471219125844322,0.030087553151246237
BA,100,2.0,4.357142857142857,5.0,0.2,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.05108,0.0009845895957199628,0.03918,0.0008676972697894122,0.05442072553241558,0.0397960874252186
BA,100,2.0,4.571428571428571,5.0,0.2,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.06026,0.0010642249048016118,0.04636,0.0009403270750116685,0.06412925980638796,0.04950462169919099
BA,100,2.0,4.785714285714286,5.0,0.2,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.0654,0.0011056476834869235,0.0546,0.0010160594470797464,0.07383779408036034,0.05921315597316335
BA,100,2.0,5.0,5.0,0.2,dB-dB,0.04591836734693878,4.492273154782122,4.169479730508766,0.07316,0.001164539517577656,0.0625,0.0010825317547305483,0.0835463283543327,0.06892169024713571
BA,100,2.0,3.5,5.0,0.02,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.0422,0.0008991013291059023,0.04058,0.0008824201221640404,0.042448228857484414,0.04142272564517782
BA,100,2.0,3.7142857142857144,5.0,0.02,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.04432,0.0009203883702003192,0.04344,0.0009116245542985335,0.04341908228488165,0.04239357907257506
BA,100,2.0,3.9285714285714284,5.0,0.02,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.0429,0.0009061963363421858,0.04412,0.0009184054181024848,0.04438993571227889,0.043364432499972294
BA,100,2.0,4.142857142857142,5.0,0.02,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.0466,0.0009426392735293815,0.04524,0.0009294443759580237,0.045360789139676116,0.044335285927369524
