g1,g2,panel,iC,iM,bc_single,bc_two,b_over_c,t,mean_R_all,n_R_all,mean_R_coop,n_R_coop,mean_R_def,n_R_def,rho_C
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,7,-0.02558506385481622,116896,0.0026834137657270793,40408,-0.04051907498977575,76488,0.14017
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,10,-0.017604213686700728,80039,0.006690100630950111,33066,-0.03470586351165264,46973,0.14017
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,15,-0.00257414761785225,43374,0.012399583875525803,20809,-0.016382628834147605,22565,0.14017
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,20,0.007690168213884077,23708,0.017206749312957157,11984,-0.002037459548935131,11724,0.14017
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,30,0.010641132364611408,7037,0.013047685654655139,3597,0.008124745101737153,3440,0.14017
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,50,0.018012763384834943,635,0.01086250175486893,320,0.02527652123114962,315,0.14017
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,75,0.11448388175786962,43,0.14070365249866448,23,0.08433114540595558,20,0.14017
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,100,0.15811388300841897,2,0.0,1,0.31622776601683794,1,0.14017
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,150,,0,,0,,0,0.14017
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,200,,0,,0,,0,0.14017
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,1,-0.13155901091593514,347971,-0.08979653467050039,59097,-0.14010265644562034,288874,0.141578
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,2,-0.08515980247952783,267271,-0.03547702396388384,53213,-0.09751051907577445,214058,0.141578
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,3,-0.059027109456760915,216283,-0.013348361396254359,49720,-0.07266247477536102,166563,0.141578
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,5,-0.041189105178083704,153980,-0.006681646956197517,45264,-0.05555631505478976,108716,0.141578
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,7,-0.03808732526840215,115084,-0.011693148994588362,40955,-0.0526696545766928,74129,0.141578
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,10,-0.028205131203968746,77799,-0.006399670869419917,33447,-0.044649197577743535,44352,0.141578
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,15,-0.009272593490042896,42032,0.004455320006315691,21202,-0.023245671836168273,20830,0.141578
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,20,-0.0023923930103226833,22907,0.005807888232546471,12250,-0.011818445860575854,10657,0.141578
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,30,0.014014966919788017,6775,0.013192251747316374,3747,0.015033036190346467,3028,0.141578
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,50,-0.007660093506948703,607,0.021833458974540195,349,-0.04755641062338137,258,0.141578
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,75,-0.019498936416577527,25,-0.07414164397115397,15,0.06246512491528715,10,0.141578
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,100,0.049670824512628456,4,0.06622776601683794,2,0.03311388300841897,2,0.141578
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,150,,0,,0,,0,0.141578
25,17,bot_ii,0,1,28.32430170860728,31.30719802134768,46.96079703202152,200,,0,,0,,0,0.141578
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,1,0.8164317527770047,347109,0.780099790907612,29889,0.8198550111098627,317220,0.07148
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,2,0.6469783367748523,266515,0.6142565400388817,27281,0.6507097601376945,239234,0.07148
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,3,0.5208667465807116,214553,0.5040162093273738,25883,0.5231784148678518,188670,0.07148
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,5,0.37919741354663733,147858,0.39399997776589096,23997,0.37632954445499706,123861,0.07148
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,7,0.3177083908614173,105848,0.3396221206908812,22065,0.31193721474353864,83783,0.07148
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,10,0.2746147870419273,66483,0.2942544479477925,18460,0.2670653182390098,48023,0.07148
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,15,0.23434422650239334,33277,0.23943277515371525,12137,0.23142276410969692,21140,0.07148
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,20,0.19548169974984408,17672,0.1966707198540945,7364,0.19463226784767035,10308,0.07148
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,30,0.1342788525803836,5371,0.132156556217693,2478,0.136096706153402,2893,0.07148
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,50,0.031747778084041,550,0.05047412704223322,283,0.011899250911125724,267,0.07148
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,75,-0.027593967581914552,35,0.003244287700024044,16,-0.053563024661441805,19,0.07148
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,100,0.32360679774997897,2,,0,0.32360679774997897,2,0.07148
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,150,,0,,0,,0,0.07148
28,14,top,0,0,10.720143669560017,1.7974326977947808,2.696149046692171,200,,0,,0,,0,0.07148
28,14,bot_i,0,1,10.720143669560017,11.430455117332231,2.696149046692171,1,-0.14925820590599942,346749,-0.16829475627863652,28850,-0.14753059909322477,317899,0.06956
28,14,bot_i,0,1,10.720143669560017,11.430455117332231,2.696149046692171,2,-0.1028995450960993,246414,-0.13001543516891598,24394,-0.09992024132867647,222020,0.06956
28,14,bot_i,0,1,10.720143669560017,11.430455117332231,2.696149046692171,3,-0.059063035172748524,179130,-0.08747253094082469,20886,-0.055313378132797957,158244,0.06956
28,14,bot_i,0,1,10.720143669560017,11.430455117332231,2.696149046692171,5,0.018567264076337256,101115,-0.0019395389812694225,15912,0.02239699131895707,85203,0.06956
28,14,bot_i,0,1,10.720143669560017,11.430455117332231,2.696149046692171,7,0.08274832284644719,61795,0.07132609502538784,12542,0.08565692904974595,49253,0.06956
28,14,bot_i,0,1,10.720143669560017,11.430455117332231,2.696149046692171,10,0.1509959241958562,33453,0.13813633554919985,9035,0.15575415105399834,24418,0.06956
28,14,bot_i,0,1,10.720143669560017,11.430455117332231,2.696149046692171,15,0.19362275418609037,14885,0.19256375116733845,5323,0.1942122828483816,9562,0.06956
28,14,bot_i,0,1,10.720143669560017,11.430455117332231,2.696149046692171,20,0.19058790069998774,7683,0.18813449956686026,3209,0.19234761554938726,4474,0.06956
